Rank	Gene	ID	Score
83	FAH	2184	0.6146
84	PRDM5	11107	0.6082
85	ZNF469	84627	0.6082
86	ERCC8	1161	0.6053
87	GALT	2592	0.5961
88	GBE1	2632	0.5961
89	UROS	7390	0.5961
90	GATA1	2623	0.5961
91	ERCC6	2074	0.5961
92	NHP2	55651	0.5842
93	CHST14	113189	0.5842
94	DKC1	1736	0.575
95	TALDO1	6888	0.5749
96	NOP10	55505	0.5702
97	TINF2	26277	0.5657
98	NPHP3	27031	0.5631
99	MPV17	4358	0.5631
100	WRAP53	55135	0.5609
101	POLG	5428	0.5538
102	KRT5	3852	0.5476
103	LAMB3	3914	0.5221
104	SFTPC	6440	0.5221
105	SLC25A13	10165	0.5221
106	LAMC2	3918	0.5221
107	HAMP	57817	0.5221
108	LAMA3	3909	0.5221
109	ATP8B1	5205	0.5221
110	COL17A1	1308	0.5221
111	KRT14	3861	0.5125
112	UROD	7389	0.5106
113	TNXB	7148	0.5106
114	PLEC	5339	0.51
115	JAG1	182	0.5067
116	ACVRL1	94	0.5066
117	SMAD4	4089	0.5066
118	ENG	2022	0.5018
119	OCRL	4952	0.4881
120	ALMS1	7840	0.486
121	FECH	2235	0.4812
122	SLC40A1	30061	0.4791
123	LBR	3930	0.4791
124	RTEL1	51750	0.477
125	ARHGAP31	57514	0.477
126	ITGB4	3691	0.477
127	RBPJ	3516	0.477
128	FOS	2353	0.477
129	AMACR	23600	0.477
130	CAV1	857	0.477
131	LEMD3	23592	0.477
132	DOCK6	57572	0.477
133	APC	324	0.4759
134	FERMT1	55612	0.4743
135	EP300	2033	0.4742
136	CREBBP	1387	0.4742
137	GDF2	2658	0.4722
138	EOGT	285203	0.4722
139	USB1	79650	0.4722
140	CTC1	80169	0.4722
141	SERPINA1	5265	0.4688
142	TP53	7157	0.4667
143	AXIN1	8312	0.4667
144	PDGFRL	5157	0.4667
145	MET	4233	0.4667
146	CTNNB1	1499	0.4667
147	PIK3CA	5290	0.4667
148	IGF2R	3482	0.4667
149	CASP8	841	0.4667
150	DST	667	0.4667
151	AKR1D1	6718	0.4622
152	TTC37	9652	0.4574
153	PHKG2	5261	0.4574
154	CYP7B1	9420	0.4574
155	IL21R	50615	0.4574
156	SLC39A13	91252	0.4574
157	GJB2	2706	0.4574
158	SKIV2L	6499	0.4574
159	COL1A2	1278	0.4574
160	AP1S1	1174	0.4574
161	IFT43	112752	0.4552
162	COG4	25839	0.4541
163	MPI	4351	0.4541
164	COG6	57511	0.4541
165	CC2D2A	57545	0.4503
166	RPGRIP1L	23322	0.4503
167	LIPA	3988	0.4503
168	HBB	3043	0.4503
169	TMEM67	91147	0.4503
170	HSD3B7	80270	0.4503
171	POLA1	5422	0.4482
172	NPPA	4878	0.4482
173	SPIB	6689	0.4482
174	IL12RB1	3594	0.4482
175	INPP5E	56623	0.4482
176	COL3A1	1281	0.4482
177	BTNL2	56244	0.4482
178	SFTPA2	729238	0.4482
179	NTRK1	4914	0.4482
180	BBS2	583	0.4482
181	C1S	716	0.4482
182	C1R	715	0.4482
183	SCAPER	49855	0.4482
184	REEP6	92840	0.4482
185	PRPF4	9128	0.4482
186	PARN	5073	0.4482
187	HLA-DRB1	3123	0.4482
188	KIZ	55857	0.4482
189	HLA-B	3106	0.4482
190	TFAM	7019	0.4482
191	F5	2153	0.4482
192	HLA-A	3105	0.4482
193	IFT172	26160	0.4482
194	KRT8	3856	0.4482
195	FARSB	10056	0.4482
196	PPOX	5498	0.4482
197	JAK2	3717	0.4482
198	ATP6AP1	537	0.4482
199	RRM2B	50484	0.4482
200	ABCB11	8647	0.4482
201	COL1A1	1277	0.4482
202	DGUOK	1716	0.4482
203	PIGA	5277	0.4482
204	CLDN1	9076	0.4482
205	MARS	4141	0.4482
206	IKZF1	10320	0.4482
207	NCSTN	23385	0.4482
208	ITGA6	3655	0.4482
209	POMGNT1	55624	0.4482
210	TNPO3	23534	0.4482
211	APOE	348	0.4482
212	AGBL5	60509	0.4482
213	TUB	7275	0.4482
214	ARHGEF18	23370	0.4482
215	SAMD9	54809	0.4482
216	POU2AF1	5450	0.4482
217	ALDOB	229	0.4482
218	GBA	2629	0.4482
219	ZNF408	79797	0.4482
220	TNFRSF11B	4982	0.4482
221	IFT140	9742	0.4482
222	IRF5	3663	0.4482
223	TNFSF15	9966	0.4482
224	ASS1	445	0.4482
225	SLC30A10	55532	0.4482
226	HGSNAT	138050	0.4482
227	GPR35	2859	0.4482
228	FKBP14	55033	0.4482
229	SCARB2	950	0.4482
230	MST1	4485	0.4482
231	AEBP1	165	0.4482
232	TREX1	11277	0.4482
233	DCDC2	51473	0.4482
234	TGFBI	7045	0.4482
235	MMEL1	79258	0.4482
236	MBTPS2	51360	0.4482
237	ABCB4	5244	0.4482
238	NOTCH1	4851	0.4482
239	PPARG	5468	0.4482
240	IL12A	3592	0.4482
241	PPP1R3A	5506	0.4482
242	SLC7A14	57709	0.4482
243	KRT18	3875	0.4482
244	CCDC115	84317	0.4482
245	MMP1	4312	0.4482
246	TYMP	1890	0.4482
247	IFT88	8100	0.4482
248	PEX1	5189	0.4482
249	TCF4	6925	0.4482
250	TRMT5	57570	0.4482
251	DLL4	54567	0.4482
252	SAT1	6303	0.4482
253	GLRX5	51218	0.4482
254	AHI1	54806	0.4482
255	EBP	10682	0.4482
256	AHR	196	0.4482
257	NR1H4	9971	0.4482
258	PRDM12	59335	0.4482
259	CTSC	1075	0.4482
260	AIPL1	23746	0.3637
261	TWIST2	117581	0.2881
262	RP1L1	94137	0.2881
263	C2ORF71	388939	0.2881
264	CYP4V2	285440	0.2881
265	FASLG	356	0.1494
266	CASP10	843	0.1494
267	FAS	355	0.1494
268	DSE	29940	0.1268
269	NEK8	284086	0.1268
270	HFE2	148738	0.08319
271	TGFB2	7042	0.05602
272	SMAD3	4088	0.05602
273	NOTCH2	4853	0.0493
274	KIT	3815	0.03361
275	ALAS2	212	0.02881
276	BMP4	652	0.02801
277	CWC27	10283	0.02521
278	VPS33B	26276	0.02401
279	VIPAS39	63894	0.02401
280	DPM2	8818	0.005873
281	ALG6	29929	0.005873
282	MOGS	7841	0.005873
283	SLC35C1	55343	0.005873
284	ALG3	10195	0.005873
285	DPM3	54344	0.005873
286	ALG13	79868	0.005873
287	PGM1	5236	0.005873
288	DDOST	1650	0.005873
289	DOLK	22845	0.005873
290	MGAT2	4247	0.005873
291	DPM1	8813	0.005873
292	RFT1	91869	0.005873
293	ALG2	85365	0.005873
294	ALG9	79796	0.005873
295	TUSC3	7991	0.005873
296	COG1	9382	0.005873
297	COG5	10466	0.005873
298	ALG11	440138	0.005873
299	PMM2	5373	0.005873
300	DPAGT1	1798	0.005873
301	COG8	84342	0.005873
302	MPDU1	9526	0.005873
303	B4GALT1	2683	0.005873
304	ALG1	56052	0.005873
305	SRD5A3	79644	0.005873
306	SLC35A1	10559	0.005873
307	ALG12	79087	0.005873
308	ALG8	79053	0.005873
309	TMEM165	55858	0.005873
310	MAGT1	84061	0.005873
311	COG7	91949	0.005873
312	IFT122	55764	0.005602
313	WDR35	57539	0.005602
314	WDR19	57728	0.005602
315	GRIK1	2897	1.849e-11
316	NEDD4	4734	6.723e-14
317	FOXL2	668	2.241e-14
318	MICA	100507436	1.479e-14
319	PGD	5226	7.395e-20
320	KIF1B	23095	7.395e-20
321	UBE4B	10277	7.395e-20
322	HLA-DQA1	3117	1.849e-23
